time,open,high,low,close,volume
1568246400,10163.06,10205.46,10085.88,10113.43,2704.3249999999985
1568260800,10116.97,10129.19,10042.12,10078.96,2502.598
1568275200,10079.76,10187.9,10076.95,10170.93,2531.512000000001
1568289600,10170.0,10365.15,10170.0,10326.58,2529.0000000000014
1568304000,10327.25,10349.91,10239.42,10308.8,2724.169000000001
1568318400,10301.82,10450.13,10300.85,10415.13,2618.029999999999
1568332800,10414.96,10440.55,10329.3,10364.64,2483.6920000000014
1568347200,10364.82,10399.81,10267.89,10284.03,3589.585
1568361600,10283.68,10327.14,10251.99,10306.52,3343.9820000000013
1568376000,10306.52,10344.0,10270.0,10296.57,3556.4900000000002
1568390400,10294.81,10310.08,10186.34,10210.25,3278.395999999999
1568404800,10210.25,10355.85,10153.51,10341.34,3000.5760000000005
1568419200,10343.01,10353.72,10267.08,10280.77,3297.9029999999993
1568433600,10280.58,10330.61,10259.75,10316.67,2973.282
1568448000,10319.07,10348.0,10287.53,10291.93,3337.2850000000017
1568462400,10292.13,10396.4,10222.77,10358.0,4138.968000000001
1568476800,10355.61,10398.0,10325.41,10363.8,3532.6789999999996
1568491200,10363.63,10419.97,10317.39,10332.25,3376.507000000002
1568505600,10332.25,10359.2,10024.81,10303.39,3539.363
1568520000,10302.49,10326.59,10273.21,10308.96,3019.3669999999993
1568534400,10308.08,10320.0,10268.55,10296.63,3250.041999999999
1568548800,10296.54,10317.29,10252.28,10306.37,3755.8709999999996
1568563200,10306.79,10332.61,10280.14,10294.68,3603.5480000000007
1568577600,10294.46,10316.45,10265.32,10302.22,3368.0639999999994
1568592000,10302.0,10353.81,10300.0,10300.07,3490.788000000002
1568606400,10300.24,10325.0,10279.69,10302.3,3131.6619999999984
1568620800,10301.95,10316.71,10275.74,10282.74,3112.6229999999996
1568635200,10282.03,10282.03,10115.0,10120.07,3548.878000000002
1568649600,10117.4,10160.39,10080.7,10124.17,3419.057000000001
1568664000,10120.37,10329.38,10119.29,10249.27,3482.6289999999985
1568678400,10257.3,10261.36,10175.2,10224.09,3556.0140000000024
1568692800,10225.02,10230.79,10165.0,10201.89,3853.5309999999995
1568707200,10202.92,10205.81,10136.77,10163.0,3791.040999999997
1568721600,10162.7,10244.27,10151.62,10201.14,3859.971999999999
1568736000,10201.09,10262.49,10200.39,10255.91,3683.4620000000014
1568750400,10256.52,10270.63,10171.37,10186.52,3775.587
1568764800,10183.87,10256.65,10183.87,10206.05,3573.4779999999987
1568779200,10206.02,10228.41,10185.6,10198.54,3431.504000000001
1568793600,10199.39,10199.47,10150.0,10156.12,3257.5170000000007
1568808000,10156.7,10210.0,10097.92,10172.91,4003.0799999999995
1568822400,10172.84,10212.25,10132.51,10171.17,3340.706
1568836800,10172.65,10211.9,10143.0,10155.16,3226.6100000000033
1568851200,10155.16,10185.55,9530.02,9821.97,4653.142000000001
1568865600,9820.96,9916.0,9780.75,9872.38,3896.305
1568880000,9872.71,9895.37,9820.0,9856.5,3859.2599999999993
1568894400,9856.5,9893.57,9845.11,9880.36,3577.7890000000007
1568908800,9882.0,10109.51,9875.25,10086.98,4871.3719999999985
1568923200,10088.91,10331.62,10088.91,10245.3,5370.8859999999995
1568937600,10247.7,10279.3,10154.7,10214.76,4230.857000000002
1568952000,10212.78,10222.92,10148.99,10156.45,3706.694000000001
1568966400,10156.11,10187.1,10121.3,10173.72,3454.1589999999987
1568980800,10172.45,10236.19,10141.31,10180.66,4066.3859999999972
1568995200,10179.55,10189.13,10070.5,10161.6,3987.0060000000008
